The tests which map to at least 80.0% of the targets are:

[350, 847, 1066, 1498, 4580, 5004, 5480, 5610, 5696, 6831]
[1275, 1744, 3135, 4260, 5430, 5998, 6148, 6168, 7785, 7855]
[1503, 1728, 3641, 4371, 5372, 6838, 8829, 8920, 9266, 9689]
[1366, 2404, 2577, 4129, 9424, 9439, 9573, 9616, 9639, 9738]
[882, 1475, 2751, 3481, 6493, 8263, 8507, 9163, 9597, 9732]
[370, 507, 563, 1381, 1801, 2428, 3375, 4710, 6363, 9011]
[1026, 1606, 2194, 2265, 2803, 2941, 3557, 4473, 7183, 9444]
[518, 1257, 1274, 1534, 2155, 2943, 5432, 6477, 7337, 8797]
[1265, 1573, 1649, 2377, 3104, 4669, 6495, 7695, 8262, 9095]
[736, 1287, 1556, 2043, 2856, 3082, 4192, 5853, 5910, 6330]
[184, 302, 697, 2089, 3048, 4258, 5752, 7938, 8442, 8946]
[1123, 1892, 2137, 2806, 3631, 3770, 3852, 4486, 4741, 5136]
[210, 1525, 1594, 1635, 2327, 2459, 2897, 6059, 6269, 7965]
[2759, 2878, 3478, 3781, 7709, 8863, 9796, 9835, 9931, 9984]
[1139, 5267, 7286, 7597, 8183, 8424, 9263, 9352, 9412, 9433]
[1033, 1104, 1748, 2052, 2140, 7398, 8552, 8626, 8737, 9017]
[1270, 1492, 1874, 2810, 4053, 4167, 7919, 8097, 8497, 8849]
[234, 1037, 1151, 6366, 7738, 8280, 8682, 8989, 9144, 9332]
[485, 733, 933, 4271, 5796, 7173, 9307, 9640, 9700, 9721]
[50, 478, 760, 1299, 2673, 3688, 3753, 4005, 4156, 4173]
[61, 810, 1772, 1927, 2238, 2679, 3673, 6211, 6668, 7853]
[2863, 3318, 3993, 5485, 5489, 5535, 6862, 6978, 7463, 8392]
[2, 2129, 2584, 4657, 8623, 9384, 9713, 9893, 9941, 9964]
[460, 1150, 1561, 1686, 2660, 3581, 3628, 4324, 6289, 8587]
[1207, 1559, 4611, 5333, 7819, 8037, 8099, 8631, 8945, 9456]
[774, 1302, 3268, 3851, 4245, 4916, 6869, 7165, 8429, 9147]
[127, 4121, 4652, 6227, 7418, 8583, 8703, 9214, 9224, 9396]
[515, 1131, 1229, 2048, 2623, 2901, 3202, 4426, 7255, 7585]
[2245, 3816, 3845, 3955, 3964, 4031, 4628, 4937, 6386, 8557]
[2654, 3085, 3470, 3934, 4295, 4513, 5558, 6004, 6156, 7333]
[1520, 2104, 2651, 3234, 4702, 5238, 6429, 6938, 7129, 8807]
[1097, 1262, 2290, 3125, 3967, 4196, 4472, 5985, 6876, 7515]
[828, 2692, 3083, 3333, 3405, 3979, 5171, 5554, 5612, 6232]
[380, 706, 791, 991, 1015, 2167, 6241, 6557, 6607, 6739]
[316, 858, 1513, 1681, 2970, 3973, 4110, 5247, 5373, 6144]
[1434, 2808, 3435, 4210, 4729, 5329, 7162, 7864, 8194, 8206]
[373, 1378, 1590, 1612, 1628, 2928, 3736, 4077, 4117, 5526]
[118, 591, 1102, 1552, 1757, 3923, 4039, 4509, 5947, 6127]
[654, 894, 2409, 2594, 3036, 3580, 3600, 3812, 5227, 7290]
[804, 1075, 1352, 1388, 4046, 4112, 4276, 4627, 5137, 5780]
[5007, 7529, 7544, 8310, 8499, 9712, 9810, 9906, 9944, 9955]
[171, 333, 1157, 1543, 3053, 4736, 5282, 6667, 6872, 7024]
[151, 1509, 4178, 5071, 8503, 9229, 9694, 9918, 9947, 9978]
[1924, 2401, 3772, 4936, 5169, 5204, 5585, 6487, 7095, 7582]
[299, 719, 1447, 2637, 2834, 4527, 4583, 6644, 7022, 7997]
[596, 2321, 2770, 4504, 4765, 5791, 6700, 7690, 7773, 8721]
[2871, 3562, 4586, 6753, 7114, 7656, 8942, 8990, 9222, 9360]
[198, 1174, 1923, 2242, 3056, 3414, 3951, 4634, 4814, 7001]
[224, 1167, 1646, 3034, 3928, 4040, 5120, 6868, 9259, 9455]
[10, 430, 431, 709, 1396, 2733, 4910, 4946, 5131, 5462]
[1147, 1972, 2300, 2590, 2883, 3547, 3827, 4262, 5834, 6045]
[711, 2216, 3929, 6010, 6219, 6751, 6905, 8150, 8604, 9100]
[12, 31, 81, 1017, 1747, 1932, 2054, 3247, 3373, 4090]
[734, 2399, 2514, 2744, 4965, 5479, 5859, 6239, 8681, 8832]
[678, 2158, 2415, 2686, 3937, 4730, 6634, 6736, 8589, 9503]
[409, 1504, 6140, 6563, 7053, 7066, 7562, 8740, 8774, 9022]
[1155, 1220, 1895, 2097, 2122, 2819, 3520, 4322, 5678, 5913]
[2230, 2344, 2546, 4203, 5418, 6464, 6799, 7043, 8427, 8471]
[343, 606, 1848, 1872, 5206, 6406, 8420, 8515, 8839, 8957]
[942, 1058, 3021, 3047, 4593, 5790, 6529, 7770, 8293, 9029]
[1452, 2618, 5856, 6958, 7523, 7560, 8948, 9039, 9349, 9824]
[1099, 1170, 1349, 1637, 2323, 4012, 4201, 6784, 6916, 7552]
[1518, 2351, 2378, 4401, 7068, 8030, 8794, 9223, 9644, 9864]
[34, 109, 420, 2364, 2508, 3480, 4026, 4506, 4607, 6214]
[1656, 1866, 2301, 2548, 2890, 3072, 3131, 3506, 3739, 3946]
[628, 1904, 3022, 3877, 5966, 6130, 7748, 8137, 8553, 9237]
[199, 3545, 4052, 4364, 5000, 5331, 6492, 8134, 8648, 9633]
[2024, 2177, 2305, 4439, 4569, 5103, 7686, 8087, 8673, 8972]
[1776, 4259, 4308, 4645, 6032, 6435, 7410, 7423, 7940, 8020]
[419, 1128, 1283, 2902, 3364, 5251, 6122, 6420, 7630, 8128]
